ZIP CODE,HUD Area Code,HUD Metro Fair Market Rent Area Name,SAFMR 0BR,SAFMR 0BR - 90% Payment Standard,SAFMR 0BR - 110% Payment Standard,SAFMR 1BR,SAFMR 1BR - 90% Payment Standard,SAFMR 1BR - 110% Payment Standard,SAFMR 2BR,SAFMR 2BR - 90% Payment Standard,SAFMR 2BR - 110% Payment Standard,SAFMR 3BR,SAFMR 3BR - 90% Payment Standard,SAFMR 3BR - 110% Payment Standard,SAFMR 4BR,SAFMR 4BR - 90% Payment Standard,SAFMR 4BR - 110% Payment Standard
"60935","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60940","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60941","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60950","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60954","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60958","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60961","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60964","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"60969","METRO28100M28100","Kankakee, IL MSA","","","","","","","","","","","","","","",""
"64001","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64011","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64012","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64013","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64014","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64015","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64016","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64017","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64018","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64020","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64021","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64022","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64024","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64028","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
"64029","METRO28140M28140","Kansas City, MO-KS HUD Metro FMR Area","","","","","","","","","","","","","","",""
